root@ebhq-gridcenter# df -h
Filesystem              Size  Used  Avail  Use%
/dev/grid/node-x0-y0     91T   71T    20T   78%
/dev/grid/node-x0-y1     88T   72T    16T   81%
/dev/grid/node-x0-y2     94T   69T    25T   73%
/dev/grid/node-x0-y3     88T   73T    15T   82%
/dev/grid/node-x0-y4     94T   66T    28T   70%
/dev/grid/node-x0-y5     87T   66T    21T   75%
/dev/grid/node-x0-y6     86T   65T    21T   75%
/dev/grid/node-x1-y0     89T   66T    23T   74%
/dev/grid/node-x1-y1     91T   70T    21T   76%
/dev/grid/node-x1-y2     93T   66T    27T   70%
/dev/grid/node-x1-y3     88T   66T    22T   75%
/dev/grid/node-x1-y4     94T   70T    24T   74%
/dev/grid/node-x1-y5     89T   65T    24T   73%
/dev/grid/node-x1-y6     94T   64T    30T   68%
/dev/grid/node-x2-y0     86T   65T    21T   75%
/dev/grid/node-x2-y1     94T   73T    21T   77%
/dev/grid/node-x2-y2     94T   71T    23T   75%
/dev/grid/node-x2-y3     91T   70T    21T   76%
/dev/grid/node-x2-y4     85T   66T    19T   77%
/dev/grid/node-x2-y5     89T   72T    17T   80%
/dev/grid/node-x2-y6     86T   64T    22T   74%
/dev/grid/node-x3-y0     89T   71T    18T   79%
/dev/grid/node-x3-y1     94T   65T    29T   69%
/dev/grid/node-x3-y2     93T   65T    28T   69%
/dev/grid/node-x3-y3     86T   69T    17T   80%
/dev/grid/node-x3-y4     89T   67T    22T   75%
/dev/grid/node-x3-y5     94T   72T    22T   76%
/dev/grid/node-x3-y6     87T   72T    15T   82%
/dev/grid/node-x4-y0     88T   67T    21T   76%
/dev/grid/node-x4-y1     89T   67T    22T   75%
/dev/grid/node-x4-y2     91T   69T    22T   75%
/dev/grid/node-x4-y3     86T   68T    18T   79%
/dev/grid/node-x4-y4     88T   64T    24T   72%
/dev/grid/node-x4-y5     92T   70T    22T   76%
/dev/grid/node-x4-y6     91T   64T    27T   70%
/dev/grid/node-x5-y0     93T   64T    29T   68%
/dev/grid/node-x5-y1     87T   73T    14T   83%
/dev/grid/node-x5-y2     94T   65T    29T   69%
/dev/grid/node-x5-y3     92T   67T    25T   72%
/dev/grid/node-x5-y4     86T   67T    19T   77%
/dev/grid/node-x5-y5     90T   73T    17T   81%
/dev/grid/node-x5-y6     93T   70T    23T   75%
/dev/grid/node-x6-y0     86T   73T    13T   84%
/dev/grid/node-x6-y1     86T   69T    17T   80%
/dev/grid/node-x6-y2     87T   67T    20T   77%
/dev/grid/node-x6-y3     91T   72T    19T   79%
/dev/grid/node-x6-y4     88T   71T    17T   80%
/dev/grid/node-x6-y5     92T   66T    26T   71%
/dev/grid/node-x6-y6     88T   70T    18T   79%
